Year,VIX Annual Average Closing Price
2021,20.17
2020,29.25
2019,15.39
2018,16.64
2017,11.09
2016,15.83
2015,16.67
2014,14.18
2013,14.23
2012,17.8
2011,24.2
2010,22.55
2009,31.48
2008,32.69
2007,17.54
2006,12.81
2005,12.81
2004,15.48
2003,21.98
2002,27.29
2001,25.75
2000,23.32
1999,24.37
1998,25.6
1997,22.36
1996,16.44
1995,12.39
1994,13.93
1993,12.69
1992,15.45
1991,18.37
