Year,Average Closing Price 
2021,1803.58
2020,1773.73
2019,1393.34
2018,1268.93
2017,1260.39
2016,1251.92
2015,1158.86
2014,1266.06
2013,1409.51
2012,1668.86
2011,1573.16
2010,1226.66
2009,973.66
2008,872.37
2007,696.43
2006,604.34
2005,444.99
2004,409.53
2003,363.83
