Year ,annual average 
2003,2.06
2004,1.83
2005,1.81
2006,2.31
2007,2.29
2008,1.77
2009,1.66
2010,1.15
2011,0.55
2012,-0.48
2013,0.07
2014,0.44
2015,0.45
2016,0.27
2017,0.46
2018,0.83
2019,0.4
2020,-0.6
